"","baseMean","log2FoldChange","lfcSE","pvalue","padj","status"
"MIR942",1.21017921735011,-1.03587004816496,1.06815709642042,0.332159590320953,NaN,"Low"
"TRIM45",784.419437309154,-1.594095193732,0.110880887289293,7.25257107176191e-47,2.32877472065422e-46,"OK"
"VTCN1",168.307918516474,-6.53708471255231,0.556225475864187,6.84946530054891e-32,1.80647140271722e-31,"OK"
"MAN1A2",2473.16109663832,0.00103454576189277,0.0572860893113803,0.985591559230539,0.987037605195214,"OK"
"FAM46C",1484.8537218722,-5.18213248588267,0.147282675721935,3.39822379833742e-271,4.11660598969926e-270,"OK"
"GDAP2",911.025880089531,-1.01732421628608,0.107556568802241,3.12380808891485e-21,6.85353222326269e-21,"OK"
"WDR3",3843.31346595029,-1.9714289596591,0.0828514544481233,3.78579326878927e-125,2.2969734407249e-124,"OK"
"SPAG17",22.0431328677957,1.01847120074612,0.49805193911573,0.0408637694893496,0.0475984062173463,"OK"
"TBX15",121.958474327381,-1.10673579061716,0.224464125234426,8.19905747804254e-07,1.22389328844159e-06,"OK"
"WARS2",706.057777876002,-1.29527306001416,0.102896626782687,2.4551089585825e-36,6.87670749494374e-36,"OK"
"HAO2",0.948791667725697,-1.71840382621162,1.18343560460328,0.146488606064267,NaN,"Low"
"HSD3B2",2.35262746315985,-2.62912221285896,1.18567331555315,0.0265951822129635,NaN,"Low"
"HSD3B1",1.42318750158854,-2.13854596035588,1.19396789941277,0.0732732104159476,NaN,"Low"
"HSD3BP4",3.62740324761127,0.991438878190546,1.16410356929865,0.394394036938069,NaN,"Low"
"LINC00622",104.119491187924,1.34697876923948,0.398979957925555,0.000735328915227073,0.000956595972623872,"OK"
"ZNF697",788.844501600132,-1.51498099399573,0.137342436468699,2.71790486831343e-28,6.74704961504525e-28,"OK"
"PHGDH",11294.8758160437,-1.31469293183509,0.078029421543174,1.07278457890871e-63,4.10228569745592e-63,"OK"
"HMGCS2",5.56181167061277,-0.710860187277308,1.09985832596539,0.518072282852974,NaN,"Low"
"REG4",3.98882324898683,-3.15323336205454,1.16592447545141,0.00684089265282496,NaN,"Low"
"NBPF7",0.484071686940044,-0.632394709935183,0.93287318262876,0.497835113973033,NaN,"Low"
"ADAM30",0,NaN,NaN,NaN,NaN,"Low"
"NOTCH2",8267.8105275564,-1.63386678926133,0.0516667254982308,1.77236393782236e-219,1.76510341215114e-218,"OK"
"FAM72B",414.578639188134,-4.20174814351023,0.202847312060861,2.59853664005769e-95,1.28924321361766e-94,"OK"
"HIST2H2BA",26.8093418601177,2.89342345282236,0.967578598165714,0.00278634576882161,0.00351052664768402,"OK"
"FCGR1B",69.4982523138803,4.12464733916842,0.483962894424615,1.55940771927808e-17,3.16862935585392e-17,"OK"
"SRGAP2D",232.274181724191,0.845073683245921,0.190722186138072,9.3834329977813e-06,1.3341434498608e-05,"OK"
"EMBP1",99.2173648790469,-2.39054652883273,0.331234653401148,5.31162790605138e-13,9.69909048757011e-13,"OK"
"ANKRD20A12P",43.6280656433726,-5.12198852574819,0.705133569665883,3.76209238898742e-13,6.89444998217263e-13,"OK"
"LOC100130000",11.3712143688062,0.506183235163805,0.821445277037747,0.537755575021795,0.561616441470712,"OK"
"FLJ39739",5.62786692386316,1.55460817459538,1.11642397286919,0.163774350553326,NaN,"Low"
"LOC100286793",27.2735216605551,2.3366387037564,0.643556902844016,0.000282523147349873,0.000375688468156615,"OK"
"PPIAL4G",2.32327783316892,1.86559169305846,1.15392498054034,0.105935347681485,NaN,"Low"
"FAM72D",256.922939714909,-4.49787465788401,0.267198086421221,1.38695789136933e-63,5.29796420536624e-63,"OK"
"LINC00623",0.263556938902135,0.43429807028297,0.812442906483346,0.592955349728497,NaN,"Low"
"LOC728875",16.1228352683424,1.50060945747217,0.743895738978459,0.043671424754931,0.0507422269952704,"OK"
"PPIAL4C",0,NaN,NaN,NaN,NaN,"Low"
"PPIAL4B",0,NaN,NaN,NaN,NaN,"Low"
"PPIAL4A",0,NaN,NaN,NaN,NaN,"Low"
"PFN1P2",21.0571475324001,3.64269398583263,0.709475469880546,2.83123746585666e-07,4.30593635329147e-07,"OK"
"NBPF9",1032.45332018748,-0.466398303907785,0.107161356781016,1.34717144812325e-05,1.90125261947064e-05,"OK"
"LOC653513",199.373394217948,4.33780790330955,0.281284068296806,1.17439563061574e-53,4.06118457843678e-53,"OK"
"PDE4DIP",16970.2581840086,2.605989592639,0.0354480466948689,0,0,"OK"
"SEC22B",4391.7349055859,-0.586729443884962,0.0506892665211007,5.51562363716961e-31,1.43317383146192e-30,"OK"
"NOTCH2NL",804.568282416553,-0.742576928696799,0.130178940327032,1.16836923903123e-08,1.87630521084855e-08,"OK"
"NBPF10",549.570649764912,-1.3111860975496,0.219047301303486,2.15251761958047e-09,3.54202412560914e-09,"OK"
"HFE2",21.2547509046576,-0.628778346804321,0.717641333640755,0.380935699446148,0.40586335222854,"OK"
"TXNIP",14856.4525333737,-1.00923054997899,0.0539863784387644,5.52228732255021e-78,2.38859451896901e-77,"OK"
"POLR3GL",1593.10737522504,0.128140592879226,0.0660715901142081,0.0524501626743753,0.0605667187480279,"OK"
"ANKRD34A",2065.40954201642,3.16222303567856,0.079908031704443,0,0,"OK"
"LIX1L",670.334913359993,-0.941185274893732,0.10457699777301,2.2586921082948e-19,4.76238669905047e-19,"OK"
"RBM8A",7357.464473198,-0.563534056245603,0.0634751323675404,6.80555913392458e-19,1.41858419015456e-18,"OK"
