"","mRNA-UHRR-C2","mRNA-UHRR-C1","mRNA-Brain-C6","mRNA-Brain-C4"
"OR52B6",0,0,0,0
"TRIM6",221,184,13,17
"TRIM6-TRIM34",0,0,0,0
"TRIM34",0,4,0,0
"TRIM5",1332,1216,254,202
"TRIM22",839,872,1022,1177
"OR56B1",0,0,0,0
"OR52N4",1,0,9,7
"OR52N5",0,0,0,0
"OR52N1",0,0,0,0
"OR52N2",1,0,0,2
"OR52E6",0,0,0,0
"OR52E8",0,0,0,0
"OR52E4",0,0,0,0
"OR56A3",0,2,0,0
"OR56A5",0,0,3,0
"OR52L1",0,0,0,0
"OR56A4",0,0,0,0
"OR56A1",0,0,0,0
"OR56B4",0,0,0,0
"OR52B2",0,0,0,0
"OR52W1",0,0,0,0
"C11orf42",0,0,0,0
"FAM160A2",2175,1964,2171,2476
"CNGA4",6,14,61,57
"CCKBR",31,35,1367,1506
"PRKCDBP",979,866,281,291
"SMPD1",2987,2583,4006,4238
"APBB1",1281,1334,31353,32086
"HPX",75,56,61,98
"TRIM3",844,698,4964,5347
"ARFIP2",3492,3085,3988,3832
"TIMM10B",2424,2374,2818,2598
"DNHD1",2998,2721,1380,1401
"RRP8",1342,1226,785,762
"ILK",6912,6632,5240,5404
"TAF10",3017,2745,1863,2041
"TPP1",11668,11628,12797,12723
"DCHS1",1988,1972,2062,2137
"MRPL17",3689,3382,1451,1510
"GVINP1",117,88,75,62
"OR2AG2",11,0,5,3
"OR2AG1",0,3,0,0
"OR6A2",3,0,0,0
"OR10A5",0,0,0,0
"OR10A2",0,0,0,0
"OR10A4",0,0,0,0
"OR2D2",0,0,0,3
"OR2D3",0,0,0,0
"ZNF215",279,345,116,90
"ZNF214",95,74,184,160
"NLRP14",13,22,13,13
"RBMXL2",6,0,5,2
"SYT9",22,16,1887,1819
"OLFML1",27,6,105,102
"PPFIBP2",934,1005,1339,1361
"CYB5R2",407,367,1021,1011
"OVCH2",4,6,0,0
"OR5P2",0,0,0,0
"OR5P3",0,0,0,0
"OR5E1P",0,0,0,1
"LOC283299",1,11,0,0
"OR10A6",0,0,0,0
"OR10A3",0,2,0,0
"NLRP10",16,14,0,1
"EIF3F",12283,11694,4961,5032
"TUB",2336,2210,9331,8864
"RIC3",136,157,4090,3993
"LMO1",112,99,97,78
"STK33",246,229,289,273
"TRIM66",1666,1639,1949,2031
"RPL27A",52027,47897,16586,17049
"SNORA3",47,41,4,3
"SNORA45",43,56,4,18
"ST5",2090,1887,3007,3250
"AKIP1",1170,1128,1146,1031
"C11orf16",1,0,2,2
"ASCL3",0,0,0,0
"TMEM9B",1424,1432,3714,3778
"TMEM9B-AS1",142,115,72,70
"NRIP3",947,1011,7281,7101
"SCUBE2",1712,1579,521,480
"MIR5691",0,0,0,0
"KRT8P41",0,0,3,0
"DENND5A",6514,6297,15184,15688
"TMEM41B",2255,2036,1866,1698
"IPO7",19245,20220,10395,9801
"SNORA23",4,7,3,1
"LOC644656",157,137,199,248
"ZNF143",1166,1162,1236,1077
"WEE1",4747,4847,219,237
"SWAP70",3532,3770,1776,1750
"LOC440028",57,51,10,6
"SBF2-AS1",309,313,405,334
"SBF2",3450,3554,3288,3146
"ADM",4282,3750,651,712
"AMPD3",793,726,1660,1661
"MTRNR2L8",22,42,136,166
"MIR4485",0,0,0,0
"RNF141",1922,1731,5699,5124
"MRVI1-AS1",5,5,52,51
"LYVE1",18,17,476,554
"MRVI1",111,102,5338,5398
"CTR9",5110,4988,2801,2864
"EIF4G2",56433,57965,43102,41611
"SNORD97",9,14,5,11
"ZBED5",2173,2133,2103,1832
"LOC729013",284,343,290,366
"GALNT18",534,465,2571,2619
"CSNK2A3",44,53,25,31
"MIR4299",0,0,0,0
"USP47",4988,4887,7199,6804
"DKK3",6233,5813,51021,53218
"MICAL2",2068,2100,23531,24501
"MICALCL",44,54,18,23
"PARVA",3921,4059,3396,3232
"TEAD1",7863,8070,2343,2228
"LOC100506305",352,337,12,18
"RASSF10",43,16,19,22
"ARNTL",749,724,2698,2816
"BTBD10",1563,1513,4350,4215
"PTH",0,0,0,0
"FAR1",3853,3769,5355,4571
"SPON1",211,290,3072,2700
"RRAS2",1639,1575,430,386
"COPB1",11479,11975,4957,4566
"PSMA1",9837,9937,5647,5204
"PDE3B",1780,1792,1215,1278
"CYP2R1",875,756,364,382
"CALCA",3,2,25,23
"CALCB",15,8,9,12
"INSC",5,10,10,19
"SOX6",252,380,676,721
"C11orf58",8107,7988,7473,6675
"PLEKHA7",1097,930,530,508
"OR7E14P",89,51,12,27
"RPS13",34071,32943,11383,11646
"PIK3C2A",4296,4765,4470,3666
"NUCB2",6161,6597,1608,1483
"NCR3LG1",2087,2094,1756,1647
"KCNJ11",250,240,2275,2309
"ABCC8",64,70,5266,5612
"USH1C",192,153,809,705
"MYOD1",0,5,5,12
"KCNC1",34,48,14786,15266
"SERGEF",1295,1305,3515,3426
"TPH1",12,15,22,13
"SAAL1",1751,1660,335,428
"SAA3P",1,0,0,0
"MRGPRX3",300,341,1,0
"MRGPRX4",4,0,0,0
"LOC494141",0,0,0,0
"SAA2-SAA4",0,0,0,0
"SAA4",28,51,0,2
"SAA2",11,11,1,3
"SAA1",35,26,13,2
"HPS5",2469,2575,1067,1156
"GTF2H1",3007,3429,2580,2199
"LDHA",116231,116550,23782,23870
"LDHC",47,35,24,21
"LDHAL6A",0,0,19,32
"TSG101",4163,4105,3552,3667
"UEVLD",601,604,555,523
"SPTY2D1-AS1",19,40,16,18
"SPTY2D1",2338,2359,948,969
"TMEM86A",175,140,434,415
"IGSF22",8,6,68,78
"PTPN5",21,21,7512,7969
"MRGPRX1",0,0,0,0
"MRGPRX2",0,0,0,0
"ZDHHC13",1170,1100,1047,947
"CSRP3",0,0,0,0
"E2F8",1397,1466,2,1
"NAV2",5510,5165,3898,4023
"NAV2-AS5",0,0,0,0
"NAV2-AS4",11,6,0,3
"MIR4486",0,0,0,0
"LOC100126784",151,108,919,1008
"MIR4694",0,0,0,0
"DBX1",8,0,0,0
"HTATIP2",2858,2844,1324,1292
"PRMT3",2145,2110,918,757
"SLC6A5",0,3,59,51
"NELL1",6,6,1962,1919
"ANO5",272,257,1653,1442
"SLC17A6",0,3,1069,839
"FANCF",935,953,496,482
"GAS2",258,244,137,113
"SVIP",1028,904,1523,1406
"CCDC179",0,0,0,0
"LUZP2",114,144,758,580
"ANO3",23,17,1844,1857
"MUC15",97,87,0,0
"SLC5A12",77,113,23,22
"FIBIN",75,42,932,845
"BBOX1",2,0,841,889
"CCDC34",1521,1482,660,556
"LGR4",2722,2725,2454,2029
"LIN7C",1159,1156,1537,1289
"BDNF-AS",80,82,692,685
"BDNF",481,516,870,786
"KIF18A",1383,1669,11,8
"MIR610",0,0,0,0
"METTL15",853,903,826,826
"KCNA4",1,0,328,341
"FSHB",0,0,0,2
"ARL14EP",1018,1115,1490,1236
"MPPED2",191,211,1022,1010
"DCDC5",3,9,32,20
"DCDC1",2,10,1,12
"DNAJC24",855,934,1211,941
"IMMP1L",448,397,564,570
"ELP4",1139,1157,1150,1006
"PAX6",471,479,5310,4945
"DKFZp686K1684",0,0,3,8
"RCN1",9764,9888,3041,2839
"WT1",552,561,7,21
"WT1-AS",94,60,0,0
"EIF3M",10785,10481,3569,3411
"CCDC73",14,10,0,1
"PRRG4",305,271,46,31
"QSER1",5266,5334,2088,1877
"DEPDC7",418,473,105,118
"TCP11L1",761,743,1386,1394
"LINC00294",950,1049,3931,3624
"CSTF3",2814,2760,2004,1789
"CSTF3-AS1",20,5,2,5
"HIPK3",2209,2579,3408,3246
"KIAA1549L",946,856,14055,13683
"C11orf91",35,28,28,15
"CD59",18696,18683,24591,23598
"FBXO3",1309,1242,3499,3120
"LMO2",839,816,1993,1886
"CAPRIN1",21584,21601,14853,13317
"NAT10",8437,8083,3526,3536
"ABTB2",1517,1309,1276,1329
"CAT",4981,4595,2371,2386
"ELF5",47,43,1,1
"EHF",19,48,147,85
"APIP",1775,1818,1293,1187
"PDHX",2605,2533,3131,2883
"MIR1343",0,0,0,0
"CD44",35832,35845,5006,4671
"SLC1A2",1092,1236,65699,58603
"PAMR1",55,43,1180,1182
"FJX1",942,836,1070,1142
"TRIM44",6764,7124,8021,7845
"LDLRAD3",1427,1245,1997,2002
"MIR3973",0,0,0,0
"COMMD9",1905,1842,2420,2637
"PRR5L",269,218,901,829
"TRAF6",1224,1219,1972,2026
"RAG1",3075,2815,28,59
"RAG2",307,322,0,0
"C11orf74",477,566,840,721
"LRRC4C",48,30,2159,2158
"LOC100507205",0,0,0,0
"HNRNPKP3",0,0,4,6
"API5",8739,8796,8440,7469
"TTC17",7180,6935,3247,3178
"MIR670",0,0,0,0
"MIR129-2",0,0,0,0
"HSD17B12",3142,3269,4128,3735
"ALKBH3",1296,1137,974,1079
"SEC14L1P1",86,98,28,15
"LOC100507300",0,4,0,0
"C11orf96",353,311,1905,2087
"ACCSL",6,0,0,0
"ACCS",642,596,191,183
"EXT2",6839,6389,2881,3116
"ALX4",220,191,47,64
"CD82",2000,1881,1898,2207
"TSPAN18",2235,2213,3129,3261
"TP53I11",3995,3499,5407,5502
"LOC221122",0,0,0,0
"PRDM11",518,586,1757,1803
"SYT13",290,341,12332,12058
"CHST1",102,82,6165,6351
"LOC100507384",0,0,0,0
"DKFZp779M0652",1,0,79,57
"SLC35C1",2164,1977,1071,1073
"CRY2",2064,1816,11036,11203
"MAPK8IP1",908,952,21944,23133
"C11orf94",2,11,1,3
"PEX16",1366,1088,1680,1695
"GYLTL1B",684,522,5,15
"PHF21A",3446,3278,3935,3989
"CREB3L1",1386,1154,360,398
"DGKZ",6022,5127,20975,22123
"MIR4688",0,0,1,0
"MDK",12797,11387,753,796
"CHRM4",27,25,238,285
"AMBRA1",3260,2919,3229,3238
"MIR3160-1",0,0,0,0
"MIR3160-2",0,0,0,0
"HARBI1",314,306,248,171
"ATG13",6310,6010,10990,11617
"ARHGAP1",5984,5551,5564,5727
"ZNF408",1127,940,614,601
"F2",4145,3807,25,39
"CKAP5",21344,21618,14556,14812
"MIR5582",0,0,0,0
"SNORD67",6,6,0,0
"LRP4-AS1",19,5,17,17
"LRP4",2625,2646,7513,7429
"C11orf49",1762,1543,5099,5370
"ARFGAP2",6021,5965,8367,8944
"PACSIN3",3031,2657,1267,1260
"DDB2",4235,4089,725,692
"ACP2",2211,2030,2470,2561
"NR1H3",889,822,536,513
"MADD",5717,5451,20511,21605
"MYBPC3",6,11,31,5
"SPI1",637,586,501,573
"SLC39A13",2509,2192,3162,3064
"PSMC3",10808,10112,7175,7365
"RAPSN",14,5,8,19
"CELF1",11131,10776,11544,10907
"PTPMT1",2878,2738,2195,2249
"KBTBD4",1266,1354,1787,1818
"NDUFS3",5302,5008,5634,5870
"FAM180B",13,10,45,33
"C1QTNF4",35,24,2634,2774
"MTCH2",8439,8431,5170,4964
"AGBL2",158,192,49,26
"FNBP4",8639,8142,4453,4613
"NUP160",9132,8821,1664,1541
"PTPRJ",3815,3789,3031,2940
"OR4B1",0,0,0,0
"OR4X2",0,0,0,0
"OR4X1",0,0,0,0
"OR4S1",0,0,0,0
"OR4C3",0,0,0,0
"OR4C45",0,0,0,0
"OR4A47",0,0,0,6
"TRIM49B",0,0,0,0
"TRIM64C",0,0,0,0
"FOLH1",58,53,2686,2524
"LOC440040",3,5,257,230
"OR4C13",0,0,0,0
"OR4C12",0,0,0,0
"LOC441601",125,126,0,0
"LOC646813",0,2,0,0
"OR4A5",0,0,0,0
"OR4C46",0,0,0,0
"TRIM48",0,1,0,0
"TRIM51HP",0,0,0,0
"OR4A16",0,0,0,0
"OR4A15",0,0,0,0
"OR4C15",0,0,0,0
"OR4C16",0,0,0,0
"OR4C11",0,0,0,0
"OR4P4",0,0,0,0
"OR4S2",0,0,0,0
"OR4C6",1,0,0,0
"OR5D13",0,0,0,0
"OR5D14",0,0,0,0
"OR5L1",0,0,0,0
"OR5D18",0,0,0,0
"OR5L2",0,0,0,0
"OR5D16",0,0,0,0
"TRIM51",37,45,4,0
"OR5W2",0,0,0,0
"OR5I1",0,0,0,0
"OR10AG1",2,0,0,0
"OR7E5P",4,1,1,0
"OR5F1",0,0,0,0
"OR5AS1",0,0,0,0
"OR8I2",0,0,0,0
"OR8H2",0,0,0,0
"OR8H3",0,0,0,0
"OR8J3",0,0,0,0
"OR8K5",0,0,0,0
"OR5J2",1,0,0,0
"OR5T2",0,0,0,0
"OR5T3",0,0,0,0
"OR5T1",0,0,0,0
"OR8H1",0,0,0,0
"OR8K3",0,0,0,0
"OR8K1",0,0,0,0
"OR8J1",0,0,0,0
"OR8U8",0,0,0,0
"OR8U1",0,0,0,0
"OR5R1",0,0,0,0
"OR5M9",0,0,2,0
"OR5M3",0,0,0,0
"OR5M8",0,0,0,0
"OR5M11",0,0,0,0
"OR5M10",0,0,0,0
"OR5M1",0,0,0,0
"OR5AP2",0,0,0,0
"OR5AR1",0,0,0,0
"OR9G1",0,0,0,0
"OR9G9",0,0,0,0
"OR9G4",0,0,0,0
"OR5AK2",0,0,0,0
"OR5AK4P",0,0,0,0
"LRRC55",55,57,831,757
"APLNR",125,81,5601,5885
"TNKS1BP1",7510,6778,3177,3097
"SSRP1",24813,23771,6721,6540
"P2RX3",4,25,0,2
"PRG3",0,0,0,0
"PRG2",178,154,0,1
"SLC43A3",9445,9262,359,476
"RTN4RL2",375,359,713,777
"SLC43A1",2076,1921,254,234
"TIMM10",1876,1556,1201,1342
"SMTNL1",8,7,0,1
"UBE2L6",3690,3277,3391,3407
"SERPING1",884,876,3641,4006
"MIR130A",0,0,0,0
"YPEL4",295,239,5239,5435
"CLP1",1196,1241,385,365
"ZDHHC5",8473,8072,3892,3963
"MED19",1072,949,1121,1067
"TMX2",6515,6701,6785,6681
"TMX2-CTNND1",4,2,0,6
"C11orf31",4975,4290,3074,3213
"BTBD18",0,0,0,0
"CTNND1",297,286,124,132
"OR9Q1",0,3,0,1
"OR6Q1",0,0,0,0
"OR9I1",0,0,0,0
"OR9Q2",0,0,0,0
"OR1S2",0,0,0,0
"OR1S1",0,0,0,0
"OR10Q1",0,0,0,0
"OR10W1",0,0,0,0
"OR5B17",0,0,0,0
"OR5B3",0,0,0,0
"OR5B2",0,0,0,1
"OR5B12",0,1,0,5
"OR5B21",3,0,2,3
"LPXN",1889,1891,430,411
"ZFP91",5369,5439,6125,5351
"ZFP91-CNTF",0,2,0,0
"CNTF",1,5,7,1
"GLYAT",1,0,4,2
"GLYATL2",53,36,28,25
"GLYATL1",55,41,19,20
"LOC283194",6,1,2,2
"FAM111B",2184,2541,0,5
"FAM111A",4266,4674,404,369
"DTX4",1014,979,4692,4812
"MPEG1",0,0,142,148
"OR5AN1",0,0,0,0
"OR5A2",0,0,0,0
"OR5A1",0,0,0,0
"OR4D6",0,3,0,0
"OR4D10",0,0,0,0
"OR4D11",0,0,0,0
"OR4D9",0,0,0,0
"OSBP",6606,6443,5230,5225
"MIR3162",0,0,0,0
"PATL1",6758,7035,2676,2548
"OR10V1",0,0,0,0
"OR10V2P",0,0,0,1
"STX3",4498,4532,2290,2272
"MRPL16",3873,3381,1942,2048
"GIF",0,0,0,0
"TCN1",23,12,0,0
"PLAC1L",0,0,0,0
"MS4A3",431,448,2,0
"MS4A2",7,8,0,0
"MS4A6A",91,126,485,491
"MS4A4A",342,278,228,200
"MS4A6E",0,0,0,1
"MS4A7",92,89,196,178
"MS4A14",17,16,55,89
"MS4A5",0,0,0,0
"MS4A1",555,620,14,7
"MS4A12",3,0,0,0
"MS4A13",0,0,0,0
"LINC00301",0,0,0,0
"MS4A8B",6,6,16,13
"MS4A15",58,42,1,2
"MS4A10",0,0,0,0
"CCDC86",6635,6163,1157,1196
"PTGDR2",94,79,194,209
"ZP1",353,362,36,29
"PRPF19",15111,13273,13193,13522
"TMEM109",6671,6309,2977,3315
"TMEM132A",4722,4074,10376,10973
"SLC15A3",256,300,354,443
"CD6",642,778,119,160
"CD5",669,544,35,10
"VPS37C",2377,2155,1445,1604
"PGA3",0,0,0,0
"PGA4",0,0,0,0
"PGA5",3,7,11,8
"VWCE",1266,1013,232,268
"DDB1",28294,27366,16816,17320
"DAK",4668,4272,1381,1376
"CYBASC3",2906,2698,852,944
"TMEM138",1933,2021,604,641
"TMEM216",692,660,453,527
"CPSF7",12311,11799,8025,8250
"SDHAF2",2182,2154,1596,1496
"PPP1R32",158,164,309,277
"MIR4488",0,0,0,0
"LRRC10B",66,60,432,538
"SYT7",2110,2021,16684,17258
"RPLP0P2",719,736,63,57
"DAGLA",829,858,4278,4415
"MYRF",2556,2256,18219,18989
"DKFZP434K028",1,2,0,1
"TMEM258",5499,4757,1954,2249
"MIR611",5,0,10,1
"FEN1",9566,9270,1752,1510
"FADS1",17074,16734,7709,7709
"MIR1908",1,2,0,0
"FADS2",9814,9205,10282,10595
"FADS3",3290,2982,3463,3349
"RAB3IL1",1009,901,606,594
"BEST1",518,589,2565,2653
"FTH1",154427,141924,135528,140759
"INCENP",6513,6049,1945,1988
"SCGB1D1",0,0,0,0
"SCGB2A1",0,0,0,0
"SCGB1D2",14,4,26,42
"SCGB2A2",0,0,0,0
"SCGB1D4",0,0,0,0
"ASRGL1",1978,1824,4844,5053
"SCGB1A1",0,0,7,7
"AHNAK",73596,73535,16094,16159
"EEF1G",110328,104191,23987,24855
"MIR3654",0,0,0,0
"TUT1",2730,2576,1290,1389
"MTA2",11878,11352,4736,4654
"EML3",4544,3959,2117,2267
"ROM1",186,176,1646,1560
"B3GAT3",3848,3526,4472,4464
"GANAB",59453,56415,12230,12462
"INTS5",2397,2264,1222,1143
"C11orf48",4153,4023,1480,1433
"METTL12",167,200,90,103
"SNORA57",51,60,48,53
"C11orf83",1346,1129,644,797
"UBXN1",5570,5055,4587,4757
"LRRN4CL",451,452,63,83
"BSCL2",293,258,617,588
"HNRNPUL2-BSCL2",4,6,0,1
"GNG3",18,13,12744,13649
"HNRNPUL2",4730,5120,8687,7866
"TTC9C",1416,1362,1183,1084
"ZBTB3",302,237,188,212
"POLR2G",5200,4679,2461,2677
"TAF6L",1485,1260,933,893
"TMEM179B",2250,1956,796,873
"TMEM223",1318,1126,425,498
"NXF1",7320,6932,6100,6369
"STX5",3596,3038,2893,2870
"WDR74",3891,3746,1667,1632
"SNHG1",11162,11230,2925,3000
"SNORD22",437,489,67,77
"SNORD31",110,132,34,36
"SNORD30",83,143,27,9
"SNORD29",175,172,10,24
"SNORD28",41,42,6,5
"SNORD27",130,164,12,17
"SNORD26",141,138,24,14
"SNORD25",164,137,37,38
"SLC3A2",22413,20453,6604,7176
"CHRM1",13,13,4200,4307
"SLC22A6",0,0,163,150
"SLC22A8",7,1,83,104
"SLC22A24",0,0,0,0
"SLC22A25",4,0,0,0
"MIR3680-1",0,0,0,0
"MIR3680-2",0,0,0,0
"SLC22A10",2,6,21,46
"SLC22A9",63,45,39,45
"HRASLS5",23,23,395,421
"LGALS12",291,316,4,8
"RARRES3",554,579,789,818
"HRASLS2",21,24,7,7
"PLA2G16",1019,1023,5850,6328
"ATL3",2528,2465,436,502
"RTN3",15445,15253,90488,87843
"C11orf95",2087,1889,2799,2943
"C11orf84",3787,3310,1430,1446
"MARK2",4321,4101,4415,4421
"RCOR2",1546,1522,943,935
"NAA40",3857,3541,1975,1915
"COX8A",10687,9793,8422,9363
"OTUB1",6713,5907,10220,11518
"MACROD1",2551,2049,950,1024
"FLRT1",96,93,933,1067
"STIP1",22879,22260,10848,10724
"FERMT3",1542,1393,342,355
"TRPT1",1966,1794,1022,1101
"NUDT22",2190,1862,1026,1207
"DNAJC4",2415,2181,1717,1933
"VEGFB",4803,4466,3914,4027
"FKBP2",2902,2600,3080,3028
"PPP1R14B",7767,6683,836,797
"PLCB3",5099,4725,1381,1392
"BAD",1709,1470,3251,3590
"GPR137",2206,1928,4029,4046
"KCNK4",6,5,502,577
"TEX40",14,6,125,133
"ESRRA",3594,2989,2764,2886
"TRMT112",8528,7494,4376,4501
"PRDX5",12620,11179,14420,14757
"CCDC88B",1778,1584,4740,4768
"RPS6KA4",3206,2907,4433,4574
"MIR1237",0,0,0,0
"LOC100996455",11,10,473,467
"SLC22A11",15,15,0,3
"SLC22A12",0,0,0,0
"NRXN2",306,332,27087,28727
"RASGRP2",396,380,1503,1547
"PYGM",135,69,1693,1751
"SF1",21980,20582,17194,16948
"MAP4K2",2064,1719,2689,2791
"MEN1",5893,5239,3084,3447
"CDC42BPG",1150,1113,1643,1755
"EHD1",4919,4414,6390,6310
"MIR192",0,0,0,0
"MIR194-2",0,0,0,0
"ATG2A",3274,3059,3210,3256
"PPP2R5B",1761,1494,11433,11827
"GPHA2",17,19,9,17
"C11orf85",9,15,0,4
"BATF2",157,202,126,81
"ARL2-SNX15",0,1,0,1
"ARL2",2588,2061,2975,3287
"SNX15",0,0,0,0
"SAC3D1",1383,1251,721,784
"NAALADL1",121,75,122,114
"CDCA5",7206,7051,227,223
"ZFPL1",2280,2100,1512,1623
"LOC100130348",0,5,0,0
"VPS51",5401,4555,6684,7345
"TM7SF2",1671,1495,2063,2338
"ZNHIT2",718,576,397,471
"FAU",23325,20997,11543,11978
"MRPL49",5570,5171,2703,2678
"SYVN1",6829,6011,4170,4278
"SPDYC",118,82,1,3
"CAPN1",10321,9295,7089,7329
"SLC22A20",50,39,77,69
"POLA2",4127,3836,751,728
"CDC42EP2",584,486,1230,1174
"DPF2",5255,4763,4112,4560
"TIGD3",108,59,256,277
"SLC25A45",410,398,352,394
"FRMD8",2767,2498,1517,1628
"NEAT1",69825,66531,15306,14782
"MIR612",35,20,4,0
"MALAT1",34781,37122,16956,15457
"MIR548AR",0,0,0,0
"SCYL1",6888,6087,6704,6932
"LTBP3",7968,6875,7616,7803
"LOC254100",65,68,81,114
"SSSCA1",1401,1174,881,817
"FAM89B",1942,1787,3282,3751
"EHBP1L1",6893,6250,1572,1571
"KCNK7",25,16,78,107
"MAP3K11",5683,5207,3559,3621
"PCNXL3",7560,6587,3187,3541
"MIR4690",3,0,0,0
"SIPA1",2333,1991,894,985
"MIR4489",2,0,0,0
"RELA",7366,6342,3594,3866
"KAT5",3523,3342,4271,4421
"RNASEH2C",2965,2638,3666,3873
"AP5B1",2961,2643,2256,2155
"OVOL1",506,533,11,17
"SNX32",94,107,1528,1660
"CFL1",52377,47990,41963,44259
"MUS81",3731,3308,2408,2583
"EFEMP2",2498,2184,1485,1605
"CTSW",5,6,18,36
"FIBP",4436,3818,3862,4035
"CCDC85B",3366,2557,5729,6220
"FOSL1",6236,5222,73,99
"C11orf68",3080,2740,5311,5680
"DRAP1",5599,4745,5260,5114
"TSGA10IP",52,44,41,26
"SART1",6860,6202,3833,3977
"EIF1AD",2489,2476,1145,1197
"BANF1",8952,7878,4049,4473
"CST6",3,0,18,20
"CATSPER1",71,62,2,19
"GAL3ST3",54,60,1045,1127
"SF3B2",23244,22442,15724,15707
"PACS1",6191,5648,7906,7819
"KLC2",3332,2882,17210,17632
"RAB1B",11938,10600,9943,10681
"CNIH2",302,339,4093,4230
"YIF1A",4245,3812,1414,1424
"TMEM151A",35,26,5810,5477
"CD248",674,593,235,288
"RIN1",2250,2021,1267,1322
"BRMS1",3019,2649,1094,1064
"B3GNT1",2856,2691,19126,19326
"SLC29A2",2374,2206,1374,1402
"NPAS4",20,13,320,306
"MRPL11",3770,3538,1124,1157
"PELI3",662,643,4607,4829
"DPP3",5048,4514,1147,1214
"BBS1",1907,1807,4706,5011
"ZDHHC24",677,636,326,434
"ACTN3",6,1,8,6
"CTSF",2165,2097,12699,12363
"CCDC87",24,17,34,33
"CCS",1967,1801,1479,1502
"RBM14",5046,4362,3310,3534
"RBM14-RBM4",0,1,0,0
"RBM4",3379,3451,2082,2097
"RBM4B",1248,1152,1595,1649
"SPTBN2",5644,5036,23363,23597
"C11orf80",1389,1211,1018,1063
"RCE1",1575,1434,791,914
"PC",3466,3103,7125,7322
"LRFN4",3443,2927,2280,2227
"C11orf86",325,329,0,0
"SYT12",1153,1113,6193,6084
"RHOD",1341,1030,79,90
"KDM2A",10200,9942,8902,8751
"ADRBK1",10059,8678,12729,13437
"ANKRD13D",2376,2072,2797,3115
"SSH3",2764,2469,2652,2729
"LOC100130987",85,102,124,86
"POLD4",2516,2176,1149,1145
"CLCF1",646,536,43,54
"RAD9A",2334,2103,831,903
"PPP1CA",11325,10661,4064,3954
"TBC1D10C",858,821,51,29
"CARNS1",251,209,13750,14702
"RPS6KB2",3869,3128,1597,1847
"PTPRCAP",762,661,160,144
"CORO1B",5436,4669,2296,2188
"GPR152",1,0,0,0
"CABP4",100,85,32,34
"TMEM134",1542,1224,939,938
"AIP",4110,3742,3601,3896
"PITPNM1",4996,4378,7485,8336
"CDK2AP2",4364,3755,2581,2868
"CABP2",0,0,0,0
"GSTP1",17770,16178,7985,8062
"NDUFV1",12299,10724,11633,12102
"DOC2GP",32,19,17,23
"NUDT8",719,548,268,263
"TBX10",44,36,0,3
"ACY3",105,85,132,150
"ALDH3B2",323,336,0,0
"FAM86C2P",545,566,142,140
"UNC93B1",3601,3020,467,497
"ALDH3B1",2870,2656,216,226
"NDUFS8",5023,4320,3807,3952
"MIR4691",8,14,10,10
"TCIRG1",5272,4516,672,709
"CHKA",4207,4016,3758,3838
"SUV420H1",3696,3737,2991,2831
"C11orf24",4184,3979,1245,1435
"LRP5",8437,7151,569,648
"PPP6R3",7105,7344,4398,4392
"GAL",2444,2226,72,73
"MTL5",1101,1018,87,91
"CPT1A",6889,6900,2462,2439
"MRPL21",2723,2591,2156,2353
"IGHMBP2",2080,1859,2108,2111
"MRGPRD",1,0,17,16
"MRGPRF",252,200,648,721
"TPCN2",1556,1249,1047,1357
"MYEOV",344,302,11,1
"CCND1",22792,21529,1655,1638
"ORAOV1",1222,1134,663,748
"FGF19",159,151,16,11
"FGF4",62,54,0,0
"FGF3",3,2,273,249
"ANO1",132,130,303,305
"FADD",2423,2064,760,812
"PPFIA1",6356,6439,4544,4326
"MIR548K",0,0,0,0
"CTTN",14138,13059,10148,10183
"SHANK2",1112,1096,4905,4720
"SHANK2-AS1",0,2,13,4
"SHANK2-AS3",0,0,0,0
"MIR3664",0,0,0,0
"FLJ42102",0,0,0,6
"DHCR7",10770,9610,4894,5161
"NADSYN1",3762,3570,1860,1760
"KRTAP5-7",5,14,24,22
"KRTAP5-8",6,5,13,19
"KRTAP5-9",4,10,13,40
"KRTAP5-10",6,10,9,6
"KRTAP5-11",0,0,4,12
"FAM86C1",687,664,133,188
"ALG1L9P",23,39,123,144
"DEFB108B",0,0,0,0
"LOC100133315",106,101,36,49
"LOC100129216",0,0,0,0
"RNF121",1724,1665,1371,1411
"IL18BP",751,750,737,729
"NUMA1",21262,18769,20009,20797
"MIR3165",0,0,0,0
"LRTOMT",486,437,705,770
"LAMTOR1",4210,3828,4173,4171
"ANAPC15",1921,1757,1416,1587
"FOLR3",63,51,0,4
"FOLR1",2975,2416,182,127
"FOLR2",1,1,153,175
"INPPL1",14871,13315,3546,3962
"PHOX2A",31,25,1,0
"CLPB",1955,1841,1188,1169
"PDE2A",2016,1974,10441,11004
"MIR139",0,0,0,0
"ARAP1",6073,5584,3856,4430
"STARD10",3318,3143,2332,2562
"MIR4692",0,5,0,0
"ATG16L2",1595,1595,1125,1133
"FCHSD2",3230,3080,3509,3836
"P2RY2",187,185,56,61
"P2RY6",165,149,57,91
"ARHGEF17",3177,2851,11720,11898
"RELT",1995,1555,1353,1268
"FAM168A",1103,1057,3111,2988
"PLEKHB1",739,688,45599,47503
"RAB6A",8821,8950,26239,23722
"MRPL48",2346,2329,1938,2097
"COA4",3791,3758,1135,1081
"PAAF1",2289,2239,2928,2732
"DNAJB13",26,24,6,12
"UCP2",4510,3999,604,582
